,baseline_tabpfn,cat,knn,lgb,lr,mlp,modified_tabpfn,rf,svm,xgb
roc,0.8456784498094595,0.8270323734474999,0.8160377502231706,0.833765329069512,0.8032807852317075,0.8369547883609757,0.8403084379357185,0.832017496759756,0.8265804045000001,0.9046988302227272
accuracy,0.8029136726037318,0.7889089246137501,0.7782837620402436,0.7844068446670731,0.766290978335366,0.7943216573390246,0.7925814248787897,0.7909261406646343,0.7759578987341464,0.7945445487681819
cross_entropy,0.42626292869150545,0.46282312250499985,1.0267439809646346,0.4797164081682926,0.49978102365250016,0.7164957878589744,0.45028062510050865,0.4740251037439022,0.44004464870975607,0.5759138340090909
time,0.23305025950134522,1.4894330412175,0.010329537274390245,0.05890111806463415,0.02533761466097561,0.5597619806829268,0.21665300531425938,0.2028301256512195,0.10218198125121952,4.948913509186363
